title,organization,department,track,domain,description,published,maxTeams,order
Smart Community Health Monitoring and Early Warning System for Water-Borne Diseases in Rural Northeast India,Ministry of Development of North Eastern Region (MoDoNER),,Software,Health,Develop a smart health surveillance system to detect and prevent water-borne disease outbreaks in rural Northeast India by collecting health data using AI/ML for outbreak prediction monitoring water quality and providing alerts to health officials and communities.,true,,1
Smart Tourist Safety Monitoring and Incident Response System using AI Geo-Fencing and Blockchain-based Digital ID,Ministry of Development of North Eastern Region (MoDoNER),,Software,Open Innovation,Develop a Smart Tourist Safety Monitoring and Incident Response System using AI Geo-Fencing and Blockchain to provide secure digital IDs real-time monitoring and rapid response capabilities for tourists enhancing safety and security.,true,,2
Low-Cost smart transportation solution for Agri produce from remote farms to nearest motorable road in NER Region,Ministry of Development of North Eastern Region (MoDoNER),,Hardware,Transportation,Develop low-cost sustainable road infrastructure in Northeastern India using bamboo and recycled plastic to create prefabricated modular road panels that are durable and erosion-resistant to improve transportation of agricultural produce from remote farms.,true,,3
Image based breed recognition for cattle and buffaloes of India,Ministry of Fisheries Animal Husbandry & Dairying,,Software,Agriculture,Develop an AI-driven solution to accurately identify cattle and buffalo breeds using images to improve data accuracy in the Bharat Pashudhan App addressing breed misclassification by field workers and integrating breed suggestions.,true,,4
Image based Animal Type Classification for cattle and buffaloes,Ministry of Fisheries Animal Husbandry & Dairying,,Software,Agriculture,Automate Animal Type Classification for cattle and buffaloes using AI-driven image analysis to extract body structure parameters and generate standardized scores integrating with the Bharat Pashudhan App to support Rashtriya Gokul Mission.,true,,5
Development of a Digital Farm Management Portal for Implementing Biosecurity Measures in Pig and Poultry Farms,Ministry of Fisheries Animal Husbandry & Dairying,,Software,Agriculture,Develop a digital farm management portal to help pig and poultry farmers implement biosecurity measures including tools for risk assessment training compliance tracking and real-time alerts with a focus on accessibility and data analysis.,true,,6
Development of a Digital Farm Management Portal for Monitoring Maximum Residue Limits and Antimicrobial Usage in Livestock,Ministry of Fisheries Animal Husbandry & Dairying,,Software,Agriculture,Develop a digital farm management portal to monitor antimicrobial usage and ensure compliance with Maximum Residue Limits in livestock tracking drug usage integrating with veterinary records providing alerts and utilizing blockchain.,true,,7
Disaster Preparedness and Response Education System for Schools and Colleges,Government of Punjab,,Software,Open Innovation,Develop a digital platform to provide interactive modules virtual drills and real-time communication tools to improve safety during disasters and address the lack of disaster preparedness education in Indian schools and colleges.,true,,8
Gamified Environmental Education Platform for Schools and Colleges,Government of Punjab,,Software,Education,Develop a gamified platform to motivate students to adopt eco-friendly practices and understand environmental issues through interactive lessons and real-world tasks addressing the lack of engaging environmental education in Indian institutions.,true,,9
Smart Crop Advisory System for Small and Marginal Farmers,Government of Punjab,,Software,Agriculture,Develop a multilingual AI-based mobile app providing location-specific crop advice soil health recommendations weather alerts pest detection and market price tracking for small and marginal farmers in India.,true,,10
Smart Curriculum Activity and Attendance App,Government of Punjab,,Software,Education,Develop an app that automates attendance tracking and provides personalized academic task suggestions to improve student productivity addressing inefficiencies of manual attendance systems and lack of structured activities in educational institutions.,true,,11
Automated Attendance System for Rural Schools,Government of Punjab,,Software,Education,Develop a low-cost user-friendly software or mobile application to automate attendance in rural schools in India reducing errors saving teacher time and improving resource allocation.,true,,12
Real-Time Public Transport Tracking for Small Cities,Government of Punjab,,Software,Transportation,Develop a mobile or web platform providing real-time bus tracking and estimated arrival times optimized for low-bandwidth environments to address the lack of real-time public transport tracking in small cities.,true,,13
Waste Segregation Monitoring System for Urban Local Bodies,Government of Punjab,,Hardware,Waste Management,Develop a system to monitor waste segregation and provide feedback to improve compliance and waste management efficiency for urban local bodies facing challenges in waste segregation.,true,,14
