title,organization,department,track,domain,description,published,maxTeams,order
Efficient Energy use in Iron Ore Mining Operations,Ministry of Steel,,Software,Open Innovation,Improve energy efficiency in iron ore mining operations specifically in crushing and grinding processes to reduce energy consumption operational costs and environmental impact through AI-driven optimization process simulation and renewable energy integration.,true,,203
Development of a Virtual Reality Simulator for Training in Chemical Disaster Response,Ministry of Home Affairs (MHA),,Software,Open Innovation,Develop a Virtual Reality simulator to train NDRF personnel in handling chemical disasters replicating realistic environments allowing trainees to practice critical skills without real-world danger supporting multi-user training performance evaluation and scenario customization.,true,,204
Structural Stability Assessment Tool for Collapsed Structures,Ministry of Home Affairs (MHA),,Software,Open Innovation,Develop a mobile or simulation-based tool to assess structural stability of collapsed buildings during disaster scenarios helping determine safe entry points estimate load-bearing capacity and identify hazards with GIS integration photo upload and offline functionality.,true,,205
Integrated Wearable Device for Real-Time Monitoring of Vital Parameters Gas Exposure and Fatigue,Ministry of Home Affairs (MHA),,Hardware,Open Innovation,Develop a wearable device for real-time monitoring of vital signs gas exposure and fatigue in rescue operations transmitting data wirelessly providing alerts and storing data for post-operation analysis to improve responder safety in hazardous environments.,true,,206
Development of Radar-Based Living Person Detection System for Use Under the Rubble,Ministry of Home Affairs (MHA),,Hardware,Open Innovation,Develop a portable radar-based system to detect living persons trapped under rubble after disasters effective in various conditions capable of detecting vital signs through debris to aid rescue operations with rapid and accurate life detection.,true,,207
Low-Cost Decentralized Smart Air Purification and Monitoring System for Delhi-NCR,AICTE,,Hardware,Waste Management,Design and develop a low-cost decentralized smart air purification and monitoring system for the Delhi-NCR region measuring air pollutants identifying pollution sources and providing localized air purification using IoT-enabled adaptive filters.,true,,208
AI-Driven Pollution Source Identification Forecasting and Policy Dashboard for Delhi-NCR,AICTE,,Software,Waste Management,Develop a software platform to identify pollution sources in Delhi-NCR forecast air quality and provide a policy dashboard using AI/ML satellite data and sensor data to offer insights to citizens and policymakers for evidence-based interventions.,true,,209
Cognitive Opportunistic LEO-PNT Receiver System,Ministry of Defence (MoD),,Hardware,Open Innovation,Develop a Cognitive Opportunistic LEO-PNT receiver system to utilize signals of opportunity from LEO satellites for accurate positioning navigation and timing services overcoming vulnerabilities of traditional PNT systems by leveraging signals from various mega-constellations.,true,,210
Screening Tool for Early Detection of Neurological Conditions,Ministry of Science and Technology,,Software,Health,Develop a low-cost accessible screening tool for early detection of neurological conditions like Parkinson's and Alzheimer's that is non-invasive easy to use by primary healthcare workers and functions in resource-limited settings providing actionable referral outputs.,true,,211
Mobile-based EHR Companion for ASHA Workers in Low-Internet Areas,Ministry of Science and Technology,,Software,Health,Develop a mobile application for ASHA workers in rural India to manage electronic health records in areas with limited internet connectivity functioning offline storing data securely syncing automatically when internet is available and supporting local languages and voice input.,true,,212
Digital Contact Tracing and Screening Tool for MDR Pathogens in Hospitals,Ministry of Science and Technology,,Software,Health,Develop a digital solution to trace contacts and screen for Multi-Drug Resistant pathogens in hospitals leveraging hospital data patient interactions and real-time inputs to identify potential outbreaks early and suggest containment protocols.,true,,213
VR and Eye-Tracking Solution to Capture Customer Reactions for EV Product Design,Ministry of Science and Technology,,Hardware,Open Innovation,Create a VR experience with eye-tracking to capture customer reactions to EV designs gathering data on gaze patterns and attention to improve ergonomics aesthetics and user experience simulating EV models and generating heatmaps and analytics.,true,,214
Digital Twin for CO2 Capture in Urban Settings,Ministry of Science and Technology,,Software,Waste Management,Create a digital twin for an urban area to simulate CO2 emissions dispersion and capture methods designing a software prototype that models CO2 flow integrates sensor data and evaluates different capture strategies to support urban planning.,true,,215
Rare-Earth-Free High-Efficiency Motors,Ministry of Science and Technology,,Hardware,Open Innovation,Develop high-efficiency electric motors that do not rely on rare-earth magnets creating a motor with comparable or superior performance using alternative materials and designs with students expected to design and validate a prototype motor concept.,true,,216
Stealth Coating for Defense Assets,Ministry of Science and Technology,,Hardware,Open Innovation,Develop an indigenous cost-effective stealth coating for defense assets to reduce radar cross-section and infrared signatures that is durable weather-resistant and field-deployable with a lab-scale formulation demonstrating effectiveness.,true,,217
Low-Cost Hydrogen Storage Cylinder,Ministry of Science and Technology,,Hardware,Open Innovation,Design a cost-effective lightweight and safe hydrogen storage cylinder to promote hydrogen as a clean energy source utilizing new materials or fabrication techniques to reduce costs and meet safety standards.,true,,218
AI Tool for Early-Stage Dementia Detection,Ministry of Science and Technology,,Software,Health,Develop an AI-based screening tool to detect early signs of dementia by analyzing speech behavior and cognitive patterns providing risk scores for clinical referral as a mobile or web-based cognitive screening application.,true,,219
Cloudburst Early Warning and Alarm System,Ministry of Science and Technology,,Software,Open Innovation,Develop a real-time early warning system for cloudbursts in hilly regions utilizing sensor networks weather radar data and AI to predict rainfall anomalies and alert local authorities and residents.,true,,220
Cryptocurrency address collection and categorization system,National Technical Research Organisation (NTRO),,Software,Open Innovation,Create a system to collect and categorize cryptocurrency addresses from various online sources associating them with suspect entities through internet scraping data storage and providing an analytical front-end for querying data and exporting results.,true,,221
Identification of URL based attacks from IP data,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop a system to identify URL-based cyberattacks using IP data detecting various attack types visualizing results allowing data export and ingesting external PCAP data for attack identification.,true,,222
Identification and protection of Virtual Network Computing VNC based data exfiltration attacks,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop a system that simulates various data exfiltration scenarios using TigerVNC and RealVNC and suggests defense mechanisms to detect and prevent data exfiltration attacks using Virtual Network Computing servers.,true,,223
Design and build a multimodal Retrieval-Augmented Generation RAG system using LLM for OFFLINE mode,National Technical Research Organisation (NTRO),,Software,Open Innovation,Build a multimodal RAG system that can ingest index and query diverse data formats like DOC PDF images and audio recordings supporting natural language queries generating grounded summaries with a unified query interface and cross-format search in offline mode.,true,,224
Detection of Open Crust Mining Activity and 3D visualization,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop a software tool to automatically detect and visualize open crust mining activity from satellite imagery identifying mining areas calculating mining depth and volume generating reports with 3D visualization and an interactive mapping platform integration.,true,,225
Automated Vulnerability Assessment and Penetration Testing tool for CCTV cameras and DVRs,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop an automated Vulnerability Assessment and Penetration Testing tool for CCTV cameras and DVRs scanning for vulnerabilities simulating attacks and using machine learning for anomaly detection and vulnerability prediction.,true,,226
Centralized Vulnerability Detection and Intelligent Query Interface,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop a centralized vulnerability detection system with a web GUI integrating various scanning tools aggregating scan results correlating them with threat intelligence and providing a RAG-based chatbot for natural language queries on vulnerabilities.,true,,227
Portable log analysis tool for isolated network,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop a portable log analysis tool for isolated networks to monitor cybersecurity events collecting parsing and analyzing logs from various sources without relying on external services with offline functionality multi-source log collection and reporting capabilities.,true,,228
Application software to obfuscate object file using Low Level Virtual Machine LLVM,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop an application that obfuscates object files generated from C and C++ code using LLVM generating obfuscated binaries for Windows and Linux making them difficult to reverse engineer and providing a report detailing the obfuscation process.,true,,229
Multi-Platform System Hardening Tool,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop an automated cross-platform security hardening tool that assesses enforces and reports compliance for operating systems including Windows Ubuntu and CentOS to replace the manual time-consuming and error-prone hardening process.,true,,230
Development of Threat rules in ELK Stack for detecting Advanced Persistent Threats APTs,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop threat rules within an ELK stack Elasticsearch Logstash Kibana to detect Advanced Persistent Threats by analyzing log data from various sources to identify suspicious activities indicative of APT attacks using APT samples for realistic data generation.,true,,231
AI/ML-Based Identification of Cryptographic Primitives and Protocols in Multi-Architecture Firmware Binaries,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop an AI/ML-based framework to automatically identify and analyze cryptographic primitives and protocols within firmware binaries across various architectures detecting known and proprietary crypto implementations and identifying protocol patterns in black-box firmware.,true,,232
AI/ML based text-to-text machine translation from Nepalese and Sinhalese to English,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop AI/ML-based software to translate printed text from Nepalese and Sinhalese languages into English to make literature accessible to a wider audience overcoming the limitations of manual translation.,true,,233
