"title","organization","department","track","domain","description","ps_id"
"Smart India Hackathon","","","","","/ Problem Statements v2026.1 Search problem statements… ⌘K Shortlist",""
"Search problem statements…","","","","","⌘K Shortlist",""
"Smart India Hackathon 2026 Problem Statements","","","","","SIH 2026 OFFICIAL DATABASE | All 226 Statements Explore, filter, search and shortlist all 226 problem statements - 172 software and 54 hardware challenges - with fast keyboard search and instant insights. ⏎ 226 total 172 software 54 hardware 30 organizations",""
"SIH 2026 OFFICIAL DATABASE","","","","","| All 226 Statements",""
"226","","","","","total 172 software 54 hardware 30 organizations",""
"Verified Database Snapshot","","","","","2026-08-21",""
"FILTERS","","","","","226 TOTAL Organization All organizations (30) Themes (18) Miscellaneous 38 Smart Automation 31 Disaster Management 29 Blockchain & Cybersecurity 22 MedTech / BioTech / HealthTech 14 Smart Education 13 Agriculture, FoodTech & Rural Development 12 Space Technology 11 Robotics and Drones 10 Transportation & Logistics 8 Fitness & Sports 8 Heritage & Culture 7 Travel & Tourism 6 Smart Resource Conservation 5 Smart Vehicles 4 Renewable / Sustainable Energy 4 Clean & Green Technology 2 Toys & Games 2 Has attached dataset Sort by Statement ID (Ascending)",""
"All organizations (30)","","","","","",""
"Disaster Management","","","","","29",""
"Blockchain & Cybersecurity","","","","","22",""
"MedTech / BioTech / HealthTech","","","","","14",""
"Agriculture, FoodTech & Rural Development","","","","","12",""
"Robotics and Drones","","","","","10",""
"Transportation & Logistics","","","","","8",""
"Heritage & Culture","","","","","7",""
"Smart Resource Conservation","","","","","5",""
"Renewable / Sustainable Energy","","","","","4",""
"Clean & Green Technology","","","","","2",""
"Has attached dataset","","","","","",""
"Statement ID (Ascending)","","","","","",""
"All (226)","","","","","Software (172) Hardware (54) 226 of 226 statements",""
"226 of 226 statements","","","","","",""
"AI-Based early warning and landslide Risk Monitoring System in NER","","","","","SIH26001 Due in 19 days Software Disaster Management Ministry of Development of North Eastern Region (MDoNER) 20 September 2026",""
"SIH26001","","","","","Due in 19 days",""
"Software","","","","","Disaster Management",""
"Ministry of Development of North Eastern Region (MDoNER)","","","","","20 September 2026",""
"Al-Based Smart Logistics and Accessibility Intelligence Platform for North Eastern Region (NER)","","","","","SIH26002 Due in 19 days Software Smart Automation Ministry of Development of North Eastern Region (MDoNER) 20 September 2026",""
"SIH26002","","","","","Due in 19 days",""
"AI-Based Cognitive Gaming and Memory Assistance Platform for Elderly Dementia Patients in North Eastern Region (NER)","","","","","SIH26003 Due in 19 days Software Space Technology Ministry of Development of North Eastern Region (MDoNER) 20 September 2026",""
"SIH26003","","","","","Due in 19 days",""
"Al-Assisted Early Detection System for Osteoarthritis (OA) Risk Markers in North Eastern Region (NER)","","","","","SIH26004 Due in 19 days Hardware Space Technology Ministry of Development of North Eastern Region (MDoNER) 20 September 2026",""
"SIH26004","","","","","Due in 19 days",""
"Hardware","","","","","Space Technology",""
"Solar-Powered Smart Mini Cold Storage System for Fresh Vegetables in North Eastern Region (NER)","","","","","SIH26005 Due in 19 days Hardware Smart Vehicles Ministry of Development of North Eastern Region (MDoNER) 20 September 2026",""
"SIH26005","","","","","Due in 19 days",""
"Development of an Intelligent Freight Forecasting Model for Optimized Vessel Chartering and Bulk Cargo Procurement from overseas to East Coast of India","","","","","SIH26006 Due in 19 days Software Transportation & Logistics Ministry of Steel 20 September 2026",""
"SIH26006","","","","","Due in 19 days",""
"Ministry of Steel","","","","","20 September 2026",""
"Safe and Efficient Operation of Mine Vehicles in Fog and Low-Visibility Conditions in Open Cast Iron Ore Mines.","","","","","SIH26007 Due in 19 days Hardware Smart Automation Ministry of Steel 20 September 2026",""
"SIH26007","","","","","Due in 19 days",""
"Belt Joint Rupture and Conveyor Belt Damages in Iron Ore Mining Industry: Intelligent Monitoring and Prediction of Conveyor Belt Joint Rupture and Damages in Iron Ore Mining Industry.","","","","","SIH26008 Due in 19 days Hardware Smart Automation Ministry of Steel 20 September 2026",""
"SIH26008","","","","","Due in 19 days",""
"Using AI/ML and Space Technology to Identify Manganese Reserves and Overcome Production Shortfalls.","","","","","SIH26009 Due in 19 days Software Smart Automation Ministry of Steel 20 September 2026",""
"SIH26009","","","","","Due in 19 days",""
"Survey/Resurvey of Rural Agricultural Land in lndia","","","","","SIH26010 Due in 19 days Hardware Smart Automation Ministry of Rural Development 20 September 2026",""
"SIH26010","","","","","Due in 19 days",""
"Ministry of Rural Development","","","","","20 September 2026",""
"3D ULPIN Generation and vertical Property Mapping SYstem","","","","","SIH26011 Due in 19 days Software Space Technology Ministry of Rural Development 20 September 2026",""
"SIH26011","","","","","Due in 19 days",""
"AI-Based Automated Urban Parcel Mapping and Cadastral Feature Extraction System using Drone lmagery","","","","","SIH26012 Due in 19 days Software Robotics and Drones Ministry of Rural Development 20 September 2026",""
"SIH26012","","","","","Due in 19 days",""
"Automated lntegration and lntelligent Harmonization of Multi-source Geospatial Data for urban Land Record Management.","","","","","SIH26013 Due in 19 days Software Disaster Management Ministry of Rural Development 20 September 2026",""
"SIH26013","","","","","Due in 19 days",""
"An lntegrated GIS-based Digital Public lnfrastructure for Land Governance","","","","","SIH26014 Due in 19 days Software Robotics and Drones Ministry of Rural Development 20 September 2026",""
"SIH26014","","","","","Due in 19 days",""
"Application of Geospatial Techniques for visualization and analysis to interpret Geo-Coded lmages to enhance watershed Development Outcomes.","","","","","SIH26015 Due in 19 days Software Disaster Management Ministry of Rural Development 20 September 2026",""
"SIH26015","","","","","Due in 19 days",""
"Real-Time National Land Acquisition & Management System for End-to-End Digital Monitoring and Decision Support","","","","","SIH26016 Due in 19 days Software Miscellaneous Ministry of Rural Development 20 September 2026",""
"SIH26016","","","","","Due in 19 days",""
"Predictive Analytics System for Early Detection of Land Acquisition Delays","","","","","SIH26017 Due in 19 days Software Agriculture, FoodTech & Rural Development Ministry of Rural Development 20 September 2026",""
"SIH26017","","","","","Due in 19 days",""
"Intelligent Land Record Digitization and Validation System","","","","","SIH26018 Due in 19 days Software MedTech / BioTech / HealthTech Ministry of Rural Development 20 September 2026",""
"SIH26018","","","","","Due in 19 days",""
"DATABASE OVERVIEW & METRICS","","","","","",""
"Total Problem Statements","","","","","226 Smart India Hackathon 2026",""
"Software Category","","","","","172 76% of all statements",""
"172","","","","","76% of all statements",""
"Hardware Category","","","","","54 24% of all statements",""
"54","","","","","24% of all statements",""
"Participating Orgs","","","","","30 Ministries & Departments",""
"30","","","","","Ministries & Departments",""
"Top Theme Domains
Distribution","","","","","Miscellaneous 38 Smart Automation 31 Disaster Management 29 Blockchain & Cybersecurity 22 MedTech / BioTech / HealthTech 14 Smart Education 13 Agriculture, FoodTech & Rural Development 12 Space Technology 11",""
"Top Theme Domains","","","","","Distribution",""
"Miscellaneous","","","","","38 Smart Automation 31 Disaster Management 29 Blockchain & Cybersecurity 22 MedTech / BioTech / HealthTech 14 Smart Education 13 Agriculture, FoodTech & Rural Development 12 Space Technology 11",""
"Top Submitting Organizations
Count","","","","","AICTE 34 Ministry of Earth Sciences (MoES) 30 National Technical Research Organisation (NTRO) 23 Indian Space Research Organisation(ISRO) 11 Ministry of Home Affairs 11 Ministry of Rural Development 10 Ministry of Consumer Affairs, Food & Public Distribution 10 Government Of Maharashtra 9",""
"Top Submitting Organizations","","","","","Count",""
"AICTE","","","","","34 Ministry of Earth Sciences (MoES) 30 National Technical Research Organisation (NTRO) 23 Indian Space Research Organisation(ISRO) 11 Ministry of Home Affairs 11 Ministry of Rural Development 10 Ministry of Consumer Affairs, Food & Public Distribution 10 Government Of Maharashtra 9",""
"Ministry of Earth Sciences (MoES)","","","","","30",""
